iata_code,name,latitude_deg,longitude_deg,home_link
YVO,Val-d'Or Airport,48.0532989502,-77.7827987671,http://www.arvo.qc.ca/
YVP,Kuujjuaq Airport,58.0960998535156,-68.4269027709961,
YVQ,Norman Wells Airport,65.2816009521484,-126.797996520996,
YVR,Vancouver International Airport,49.193901062,-123.183998108,http://www.yvr.ca/
YVZ,Deer Lake Airport,52.6557998657227,-94.0614013671875,
YWG,Winnipeg / James Armstrong Richardson International Airport,49.9099998474,-97.2398986816,http://www.waa.ca/
YWJ,Déline Airport,65.2110977172852,-123.435997009277,
YWK,Wabush Airport,52.9219017028809,-66.8644027709961,
YWL,Williams Lake Airport,52.1831016541,-122.054000854,
YWP,Webequie Airport,52.9593933975,-87.3748683929,
YXC,Cranbrook/Canadian Rockies International Airport,49.610801696777,-115.78199768066,
YXE,Saskatoon John G. Diefenbaker International Airport,52.1707992553711,-106.699996948242,
YXH,Medicine Hat Airport,50.0189018249512,-110.721000671387,
YXJ,Fort St John Airport,56.2380981445313,-120.73999786377,
YXL,Sioux Lookout Airport,50.113899230957,-91.9052963256836,
YXN,Whale Cove Airport,62.2400016785,-92.5980987549,
YXP,Pangnirtung Airport,66.1449966431,-65.7136001587,
YXS,Prince George Airport,53.8894004822,-122.679000854,
YXT,Northwest Regional Airport Terrace-Kitimat,54.468498,-128.576009,
YXU,London Airport,43.035599,-81.1539,http://www.londonairport.on.ca/
YXX,Abbotsford Airport,49.0252990722656,-122.361000061035,http://www.abbotsfordairport.ca/
YXY,Whitehorse / Erik Nielsen International Airport,60.7095985413,-135.067001343,
YYB,North Bay Airport,46.3636016845703,-79.4227981567383,http://www.northbayairport.com/jackgarland.asp
YYC,Calgary International Airport,51.113899231,-114.019996643,http://www.calgaryairport.com/
YYD,Smithers Airport,54.8246994018555,-127.182998657227,
YYE,Fort Nelson Airport,58.8363990784,-122.597000122,
YYF,Penticton Airport,49.4631004333496,-119.601997375488,
YYG,Charlottetown Airport,46.2900009155274,-63.1211013793945,
YYH,Taloyoak Airport,69.5466995239,-93.5766983032,
YYJ,Victoria International Airport,48.646900177,-123.426002502,http://www.victoriaairport.com/
YYL,Lynn Lake Airport,56.863899230957,-101.075996398926,
YYQ,Churchill Airport,58.739200592041,-94.0650024414063,
YYR,Goose Bay Airport,53.3191986084,-60.4258003235,
YYT,St. John's International Airport,47.618598938,-52.7518997192,http://www.stjohnsairport.com/
YYU,Kapuskasing Airport,49.4138984680176,-82.4674987792969,
YYY,Mont Joli Airport,48.6086006164551,-68.2080993652344,
YYZ,Lester B. Pearson International Airport,43.6772003174,-79.6305999756,http://www.gtaa.com/
YZF,Yellowknife Airport,62.4627990722656,-114.440002441406,
YZG,Salluit Airport,62.1794013977051,-75.6671981811523,
YZP,Sandspit Airport,53.2542991638,-131.813995361,
YZR,Chris Hadfield Airport,42.9994010925293,-82.3088989257812,
YZS,Coral Harbour Airport,64.1932983398,-83.3593978882,
YZT,Port Hardy Airport,50.6805992126465,-127.366996765137,
YZV,Sept-Îles Airport,50.2233009338379,-66.2656021118164,
ZAC,York Landing Airport,56.0894012451172,-96.0892028808594,
ILF,Ilford Airport,56.0614013672,-95.613899231,
ZBF,Bathurst Airport,47.629699707,-65.738899231,
ZEM,Eastmain River Airport,52.2263984680176,-78.5224990844727,
ZFD,Fond-Du-Lac Airport,59.334400177002,-107.181999206543,
ZFM,Fort Mcpherson Airport,67.4075012207031,-134.860992431641,
ZFN,Tulita Airport,64.909697,-125.572998,
ZGI,Gods River Airport,54.8396987915039,-94.0785980224609,
ZJN,Swan River Airport,52.1206016540527,-101.236000061035,
ZKE,Kashechewan Airport,52.2825012207031,-81.6778030395508,
MSA,Muskrat Dam Airport,53.4413986206055,-91.7628021240234,
ZMT,Masset Airport,54.0275001525879,-132.125,
ZPB,Sachigo Lake Airport,53.8911018371582,-92.196403503418,
ZRJ,Round Lake (Weagamow Lake) Airport,52.9435997009277,-91.3127975463867,
ZSJ,Sandy Lake Airport,53.0642013549805,-93.3443984985352,
